group,image_file,ground_truth_file,prediction_file,cer,wer,accuracy
degraded,degraded_000.png,degraded_000.txt,outputs\predictions\baseline\degraded\degraded_000.txt,0.15071507150715072,0.3235294117647059,76.28777583640716
degraded,degraded_001.png,degraded_001.txt,outputs\predictions\baseline\degraded\degraded_001.txt,1.0,1.0,0.0
degraded,degraded_002.png,degraded_002.txt,outputs\predictions\baseline\degraded\degraded_002.txt,0.32868217054263565,0.48412698412698413,59.35954226651901
degraded,degraded_003.png,degraded_003.txt,outputs\predictions\baseline\degraded\degraded_003.txt,0.7952146375791695,0.9858156028368794,10.948487979197552
degraded,degraded_004.png,degraded_004.txt,outputs\predictions\baseline\degraded\degraded_004.txt,0.6263736263736264,0.8777777777777778,24.792429792429793
degraded,degraded_005.png,degraded_005.txt,outputs\predictions\baseline\degraded\degraded_005.txt,1.0,1.0,0.0
dense_text,dense_000.png,dense_000.txt,outputs\predictions\baseline\dense_text\dense_000.txt,0.21223857474825716,0.3963963963963964,69.56825144276732
dense_text,dense_001.png,dense_001.txt,outputs\predictions\baseline\dense_text\dense_001.txt,0.6531942633637549,0.7748344370860927,28.598564977507625
dense_text,dense_002.png,dense_002.txt,outputs\predictions\baseline\dense_text\dense_002.txt,0.16101026045777428,0.3632075471698113,73.78910961862071
dense_text,dense_003.png,dense_003.txt,outputs\predictions\baseline\dense_text\dense_003.txt,0.7129337539432177,0.85,21.85331230283911
dense_text,dense_004.png,dense_004.txt,outputs\predictions\baseline\dense_text\dense_004.txt,0.41373801916932906,0.5648148148148148,51.07235830079281
dense_text,dense_005.png,dense_005.txt,outputs\predictions\baseline\dense_text\dense_005.txt,0.29509632224168125,0.5,60.24518388791593
handwritten,handwritten_000.png,handwritten_000.txt,outputs\predictions\baseline\handwritten\handwritten_000.txt,0.5833333333333334,1.0,20.833333333333325
handwritten,handwritten_001.png,handwritten_001.txt,outputs\predictions\baseline\handwritten\handwritten_001.txt,0.5454545454545454,0.8888888888888888,28.282828282828287
handwritten,handwritten_002.png,handwritten_002.txt,outputs\predictions\baseline\handwritten\handwritten_002.txt,0.7027027027027027,1.0,14.864864864864868
handwritten,handwritten_003.png,handwritten_003.txt,outputs\predictions\baseline\handwritten\handwritten_003.txt,0.5151515151515151,1.0,24.242424242424242
handwritten,handwritten_004.png,handwritten_004.txt,outputs\predictions\baseline\handwritten\handwritten_004.txt,0.5675675675675675,1.0,21.62162162162162
handwritten,handwritten_005.png,handwritten_005.txt,outputs\predictions\baseline\handwritten\handwritten_005.txt,0.75,1.0,12.5
printed,printed_000.png,printed_000.txt,outputs\predictions\baseline\printed\printed_000.txt,0.13861386138613863,0.25735294117647056,80.20165987186954
printed,printed_001.png,printed_001.txt,outputs\predictions\baseline\printed\printed_001.txt,0.5722670579603815,0.7577092511013216,33.50118454691484
printed,printed_002.png,printed_002.txt,outputs\predictions\baseline\printed\printed_002.txt,0.33488372093023255,0.48412698412698413,59.04946474713917
printed,printed_003.png,printed_003.txt,outputs\predictions\baseline\printed\printed_003.txt,0.7797325826882477,0.9680851063829787,12.609115546438677
printed,printed_004.png,printed_004.txt,outputs\predictions\baseline\printed\printed_004.txt,0.47912087912087914,0.7555555555555555,38.266178266178265
printed,printed_005.png,printed_005.txt,outputs\predictions\baseline\printed\printed_005.txt,0.4098360655737705,0.5597826086956522,51.51906628652887
receipts,receipt_000.png,receipt_000.txt,outputs\predictions\baseline\receipts\receipt_000.txt,0.6943866943866944,0.8214285714285714,24.209236709236713
receipts,receipt_001.png,receipt_001.txt,outputs\predictions\baseline\receipts\receipt_001.txt,0.651840490797546,0.7894736842105263,27.934291249596388
receipts,receipt_002.png,receipt_002.txt,outputs\predictions\baseline\receipts\receipt_002.txt,0.5836873406966865,0.7135922330097088,35.136021314680235
receipts,receipt_003.png,receipt_003.txt,outputs\predictions\baseline\receipts\receipt_003.txt,0.5726795096322241,0.7170731707317073,35.51236598180343
receipts,receipt_004.png,receipt_004.txt,outputs\predictions\baseline\receipts\receipt_004.txt,0.6299810246679317,0.7734806629834254,29.826915617432135
receipts,receipt_005.png,receipt_005.txt,outputs\predictions\baseline\receipts\receipt_005.txt,0.6731448763250883,0.8365384615384616,24.515833106822505
scene_text,scene_000.png,scene_000.txt,outputs\predictions\baseline\scene_text\scene_000.txt,1.0,1.0,0.0
scene_text,scene_001.png,scene_001.txt,outputs\predictions\baseline\scene_text\scene_001.txt,1.0,1.0,0.0
scene_text,scene_002.png,scene_002.txt,outputs\predictions\baseline\scene_text\scene_002.txt,1.0,1.0,0.0
scene_text,scene_003.png,scene_003.txt,outputs\predictions\baseline\scene_text\scene_003.txt,0.4,1.0,30.000000000000004
scene_text,scene_004.png,scene_004.txt,outputs\predictions\baseline\scene_text\scene_004.txt,1.0,1.0,0.0
scene_text,scene_005.png,scene_005.txt,outputs\predictions\baseline\scene_text\scene_005.txt,0.0,0.0,100.0
